MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Blood Red Sky,-2021,"
Action, Horror, Thriller            ",6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.","
    Director:
Peter Thorwarth
| 
    Stars:
Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti
",21062,121,
Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",5,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.","
            
    Stars:
Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill
",17870,25,
The Walking Dead,(2010–2022),"
Drama, Horror, Thriller            ",8.2,"
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","
            
    Stars:
Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan
",885805,44,
Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ",9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","
            
    Stars:
Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
",414849,23,
Army of Thieves,-2021,"
Action, Crime, Horror            ",,"
A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","
    Director:
Matthias Schweighöfer
| 
    Stars:
Matthias Schweighöfer, 
Nathalie Emmanuel, 
Ruby O. Fee, 
Stuart Martin
",,,
Outer Banks,(2020– ),"
Action, Crime, Drama            ",7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.","
            
    Stars:
Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss
",25858,50,
The Last Letter from Your Lover,-2021,"
Drama, Romance            ",6.8,"
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.","
    Director:
Augustine Frizzell
| 
    Stars:
Shailene Woodley, 
Joe Alwyn, 
Wendy Nottingham, 
Felicity Jones
",5283,110,
Dexter,(2006–2013),"
Crime, Drama, Mystery            ",8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","
            
    Stars:
Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar
",665387,53,
Never Have I Ever,(2020– ),"
Comedy            ",7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","
            
    Stars:
Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe
",34530,30,
Virgin River,(2019– ),"
Drama, Romance            ",7.4,"
Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","
            
    Stars:
Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson
",27279,44,
Gunpowder Milkshake,-2021,"
Action, Adventure, Thriller            ",6,"
Three generations of women fight back against those who could take everything from them.","
    Director:
Navot Papushado
| 
    Stars:
Karen Gillan, 
Lena Headey, 
Carla Gugino, 
Michelle Yeoh
",17989,114,
Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ",8.1,"
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","
            
    Stars:
Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside
",264222,42,
Fear Street: 1994,-2021,"
Drama, Horror, Mystery            ",6.2,"
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.","
    Director:
Leigh Janiak
| 
    Stars:
Kiana Madeira, 
Olivia Scott Welch, 
Benjamin Flores Jr., 
Julia Rehwald
",50148,107,
Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",5.4,"
A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.","
            
    Stars:
Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette
",12172,,
American Horror Story,(2011– ),"
Drama, Horror, Thriller            ",8,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","
            
    Stars:
Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson
",286488,60,
Grey's Anatomy,(2005– ),"
Drama, Romance            ",7.5,"
A drama centered on the personal and professional lives of five surgical interns and their supervisors.","
            
    Stars:
Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers
",266258,41,
Breaking Bad,(2008–2013),"
Crime, Drama, Thriller            ",9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","
            
    Stars:
Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt
",1552311,49,
The Good Doctor,(2017– ),"
Drama            ",8.1,"
Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","
            
    Stars:
Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
Antonia Thomas
",70871,41,
Atypical,(2017–2021),"
Comedy, Drama            ",8.3,"
Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","
            
    Stars:
Jennifer Jason Leigh, 
Keir Gilchrist, 
Brigette Lundy-Paine, 
Michael Rapaport
",71544,30,
Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",8.7,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","
            
    Stars:
Millie Bobby Brown, 
Finn Wolfhard, 
Winona Ryder, 
David Harbour
",885856,51,
Fear Street: 1978,-2021,"
Drama, Horror, Mystery            ",6.8,"
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","
    Director:
Leigh Janiak
| 
    Stars:
Sadie Sink, 
Emily Rudd, 
Ryan Simpkins, 
McCabe Slye
",36634,109,
Friends,(1994–2004),"
Comedy, Romance            ",8.9,"
Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","
            
    Stars:
Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc
",880918,22,
The Flash,(2014– ),"
Action, Adventure, Drama            ",7.6,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","
            
    Stars:
Grant Gustin, 
Candice Patton, 
Danielle Panabaker, 
Carlos Valdes
",320264,43,
Peaky Blinders,(2013– ),"
Crime, Drama            ",8.8,"
A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","
            
    Stars:
Cillian Murphy, 
Paul Anderson, 
Helen McCrory, 
Sophie Rundle
",393414,60,
He-Man and the Masters of the Universe,(2021– ),"
Animation, Action, Adventure            ",,"
Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.","
",,,
Chernobyl,-2021,"
Drama, History, Romance            ",5,"
A story about a heroic fireman who worked as one of Chernobyl liquidators.","
    Director:
Danila Kozlovskiy
| 
    Stars:
Danila Kozlovskiy, 
Oksana Akinshina, 
Filipp Avdeev, 
Ravshana Kurkova
",4681,136,
Vikings,(2013–2020),"
Action, Adventure, Drama            ",8.5,"
Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","
            
    Stars:
Katheryn Winnick, 
Gustaf Skarsgård, 
Alexander Ludwig, 
Georgia Hirst
",459913,44,
Better Call Saul,(2015– ),"
Crime, Drama            ",8.8,"
The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","
            
    Stars:
Bob Odenkirk, 
Rhea Seehorn, 
Jonathan Banks, 
Patrick Fabian
",347857,46,
Supernatural,(2005–2020),"
Drama, Fantasy, Horror            ",8.4,"
Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","
            
    Stars:
Jared Padalecki, 
Jensen Ackles, 
Jim Beaver, 
Misha Collins
",404273,44,
The Blacklist,(2013– ),"
Crime, Drama, Mystery            ",8,"
A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","
            
    Stars:
James Spader, 
Megan Boone, 
Diego Klattenhoff, 
Ryan Eggold
",213522,43,
Fear Street: 1666,-2021,"
Horror, Mystery            ",6.7,"
The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.","
    Director:
Leigh Janiak
| 
    Stars:
Kiana Madeira, 
Ashley Zukerman, 
Gillian Jacobs, 
Olivia Scott Welch
",27447,114,
Animal Kingdom,(2016– ),"
Crime, Drama            ",8.2,"
Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","
            
    Stars:
Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole
",26926,60,
Brooklyn Nine-Nine,(2013–2022),"
Comedy, Crime            ",8.4,"
Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","
            
    Stars:
Andy Samberg, 
Stephanie Beatriz, 
Terry Crews, 
Melissa Fumero
",248583,22,
NCIS: Naval Criminal Investigative Service,(2003– ),"
Action, Crime, Drama            ",7.7,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","
            
    Stars:
Mark Harmon, 
David McCallum, 
Sean Murray, 
Pauley Perrette
",125619,60,
Kingdom,(2019– ),"
Action, Drama, History            ",8.4,"
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","
            
    Stars:
Ju Ji-Hoon, 
Bae Doona, 
Kim Sungkyu, 
Hye-jun Kim
",34906,45,
Modern Family,(2009–2020),"
Comedy, Drama, Romance            ",8.4,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.","
            
    Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell
",378030,22,
Titans,(I) (2018– ),"
Action, Adventure, Crime            ",7.7,"
A team of young superheroes combat evil and other perils.","
            
    Stars:
Brenton Thwaites, 
Teagan Croft, 
Anna Diop, 
Ryan Potter
",73656,45,
The Witcher,(2019– ),"
Action, Adventure, Fantasy            ",8.2,"
Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","
            
    Stars:
Henry Cavill, 
Anna Shaffer, 
Freya Allan, 
Adjoa Andoh
",336484,60,
Downton Abbey,(2010–2015),"
Drama, Romance            ",8.7,"
A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","
            
    Stars:
Hugh Bonneville, 
Phyllis Logan, 
Elizabeth McGovern, 
Brendan Coyle
",171804,58,
Shingeki no kyojin,(2013–2022),"
Animation, Action, Adventure            ",9,"
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","
            
    Stars:
Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa
",242582,24,
Suits,(2011–2019),"
Comedy, Drama            ",8.4,"
On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","
            
    Stars:
Gabriel Macht, 
Patrick J. Adams, 
Meghan Markle, 
Sarah Rafferty
",374263,44,
La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",8.3,"
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","
            
    Stars:
Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alonso
",341858,70,
Schitt's Creek,(2015–2020),"
Comedy            ",8.5,"
When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","
            
    Stars:
Eugene Levy, 
Catherine O'Hara, 
Dan Levy, 
Annie Murphy
",90728,22,
Outlander,(2014– ),"
Drama, Fantasy, Romance            ",8.4,"
An English combat nurse from 1945 is mysteriously swept back in time to 1743.","
            
    Stars:
Caitriona Balfe, 
Sam Heughan, 
Duncan Lacroix, 
Sophie Skelton
",134991,64,
The Last Kingdom,(2015– ),"
Action, Drama, History            ",8.4,"
As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","
            
    Stars:
Alexander Dreymon, 
Eliza Butterworth, 
Arnas Fedaravicius, 
Millie Brady
",94650,60,
Black Mirror,(2011– ),"
Drama, Sci-Fi, Thriller            ",8.8,"
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","
            
    Stars:
Daniel Lapaine, 
Hannah John-Kamen, 
Michaela Coel, 
Beatrice Robertson-Jones
",469407,60,
Ozark,(2017– ),"
Crime, Drama, Thriller            ",8.4,"
A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","
            
    Stars:
Jason Bateman, 
Laura Linney, 
Sofia Hublitz, 
Skylar Gaertner
",206090,60,
The Crown,(2016– ),"
Biography, Drama, History            ",8.6,"
Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","
            
    Stars:
Claire Foy, 
Olivia Colman, 
Imelda Staunton, 
Matt Smith
",169517,58,
Sweet Tooth,(2021– ),"
Action, Adventure, Drama            ",7.9,"
A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.","
            
    Stars:
Nonso Anozie, 
Christian Convery, 
Adeel Akhtar, 
Stefania LaVie Owen
",37142,,
Army of the Dead,-2021,"
Action, Crime, Horror            ",5.8,"
Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","
    Director:
Zack Snyder
| 
    Stars:
Dave Bautista, 
Ella Purnell, 
Ana de la Reguera, 
Omari Hardwick
",132378,148,
Fargo,(2014– ),"
Crime, Drama, Thriller            ",8.9,"
Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","
            
    Stars:
Billy Bob Thornton, 
Martin Freeman, 
Allison Tolman, 
Colin Hanks
",341221,53,
How I Met Your Mother,(2005–2014),"
Comedy, Romance            ",8.3,"
A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.","
            
    Stars:
Josh Radnor, 
Jason Segel, 
Cobie Smulders, 
Neil Patrick Harris
",624036,22,
Community,(2009–2015),"
Comedy            ",8.5,"
A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.","
            
    Stars:
Joel McHale, 
Danny Pudi, 
Donald Glover, 
Chevy Chase
",231013,22,
Sons of Anarchy,(2008–2014),"
Crime, Drama, Thriller            ",8.5,"
A biker struggles to balance being a father and being involved in an outlaw motorcycle club.","
            
    Stars:
Charlie Hunnam, 
Katey Sagal, 
Mark Boone Junior, 
Kim Coates
",270445,45,
StartUp,(2016–2018),"
Crime, Thriller            ",7.9,"
A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","
            
    Stars:
Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kristen Ariza
",22971,44,
The Vampire Diaries,(2009–2017),"
Drama, Fantasy, Horror            ",7.7,"
The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","
            
    Stars:
Nina Dobrev, 
Paul Wesley, 
Ian Somerhalder, 
Kat Graham
",293434,43,
365 dni,-2020,"
Drama, Romance            ",3.3,"
Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","
    Directors:
Barbara Bialowas, 
Tomasz Mandes
| 
    Stars:
Anna Maria Sieklucka, 
Michele Morrone, 
Bronislaw Wroclawski, 
Otar Saralidze
",63620,114,
How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",7.9,"
To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","
            
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",23960,30,
Good Girls,(2018–2021),"
Comedy, Crime, Drama            ",7.8,"
Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.","
            
    Stars:
Christina Hendricks, 
Retta, 
Mae Whitman, 
Reno Wilson
",38618,43,
13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",7.6,"
Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","
            
    Stars:
Dylan Minnette, 
Katherine Langford, 
Christian Navarro, 
Alisha Boe
",266386,60,
The Queen's Gambit,-2020,"
Drama            ",8.6,"
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","
            
    Stars:
Anya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marcin Dorocinski
",336801,395,
Legends of Tomorrow,(2016– ),"
Action, Adventure, Drama            ",6.8,"
Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","
            
    Stars:
Caity Lotz, 
Amy Louise Pemberton, 
Dominic Purcell, 
Nick Zano
",95897,42,
Star Trek: The Next Generation,(1987–1994),"
Action, Adventure, Mystery            ",8.6,"
Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","
            
    Stars:
Patrick Stewart, 
Brent Spiner, 
Jonathan Frakes, 
LeVar Burton
",106181,44,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",7.7,"
Add a Plot
","
    Director:
Sam Wrench
| 
    Stars:
Ivie Ani, 
2'Live Bre, 
Chance the Rapper, 
Daniel Farris
",88,,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",7.1,"
Add a Plot
","
    Director:
Sam Wrench
| 
    Stars:
Ivie Ani, 
2'Live Bre, 
Fat Joe
",76,,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",7.3,"
Add a Plot
","
    Director:
Sam Wrench
| 
    Stars:
Ivie Ani, 
2'Live Bre, 
Troy Curry
",74,,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",8.2,"
Chance the Rapper goes back to his hometown to hold auditions with the help of two guest judges.","
    Director:
Sam Wrench
| 
    Stars:
Ivie Ani, 
2'Live Bre, 
Chance the Rapper, 
Matthias Kocur
",73,,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",7.7,"
Digging deep, eight lyricists head home to write hit songs with industry heavyweights and shoot videos that capture their visions, stories and cities.","
    Director:
Sam Wrench
| 
    Stars:
2'Live Bre, 
Troy Curry, 
Daniel Farris, 
Enrique Penn
",56,,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",7.9,"
Add a Plot
","
    Director:
Sam Wrench
| 
    Stars:
2'Live Bre, 
Troy Curry, 
Daniel Farris
",55,,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",8.4,"
Add a Plot
","
    Director:
Sam Wrench
| 
    Stars:
Ty Dolla $ign, 
Jhené Aiko, 
2'Live Bre, 
Chance the Rapper
",54,,
 Rhythm + Flow,(2019– ),"
Music, Reality-TV            ",8.8,"
Add a Plot
","
    Director:
Sam Wrench
| 
    Stars:
2'Live Bre, 
Troy Curry, 
Christopher Miller
",64,,
 Jupiter's Legacy,-2021,"
Action, Adventure, Drama            ",7.1,"
Sheldon tries to assemble a dream team for his quest into the unknown. An autopsy unearths a puzzling object that connects to Chloe's new acquaintance.","
    Director:
Charlotte Brändström
| 
    Stars:
Josh Duhamel, 
Ben Daniels, 
Leslie Bibb, 
Andrew Horton
",1052,48,
 Jupiter's Legacy,-2021,"
Action, Adventure, Drama            ",7.3,"
Grace sees first-hand how the Code is affecting the younger superheroes. Tempers flare aboard the ship as Sheldon forges ahead with his expedition.","
    Director:
Charlotte Brändström
| 
    Stars:
Josh Duhamel, 
Ben Daniels, 
Leslie Bibb, 
Andrew Horton
",1034,44,
 Jupiter's Legacy,-2021,"
Action, Adventure, Drama            ",7.4,"
As Walter's situation grows dire, Sheldon and Brandon join forces in a do-or-die showdown with a supervillain. Hutch runs into trouble during a heist.","
    Director:
Marc Jobst
| 
    Stars:
Josh Duhamel, 
Ben Daniels, 
Leslie Bibb, 
Andrew Horton
",1082,36,
 Jupiter's Legacy,-2021,"
Action, Adventure, Drama            ",7.9,"
The perilous final leg of their journey pushes Sheldon's ragtag team to the brink. Walter reaches out to a questionable source to extract information.","
    Director:
Marc Jobst
| 
    Stars:
Josh Duhamel, 
Ben Daniels, 
Leslie Bibb, 
Andrew Horton
",1114,56,
 Ginny & Georgia,(2021– ),"
Comedy, Drama            ",7.5,"
Georgia Miller is the mother of Ginny Miller and her little brother Austin. After hearing that her husband died in a car accident, Georgia moves her family to Wellsbury.","
    Director:
Anya Adams
| 
    Stars:
Brianne Howey, 
Antonia Gentry, 
Diesel La Torraca, 
Jennifer Robertson
",717,58,
 Power Rangers Beast Morphers,(2019–2020),"
Action, Adventure, Drama            ",7.2,"
When the Beast Morphers Rangers get trapped inside holiday ornaments, their Beast Bots must save them and the city.","
    Director:
Oliver Driver
| 
    Stars:
Rorrie D. Travis, 
Jasmeet Baduwalia, 
Jacqueline Scislowski, 
Abraham Rodriguez
",30,,
 Super Monsters,(2017– ),"
Animation, Adventure, Comedy            ",5.8,"
The Super Monsters share their Halloween traditions with Vida, then get invited to a Día de los Muertos party in the Howlers' backyard.","
            
    Stars:
Maria J. Cruz, 
Gigi Saul Guerrero
",46,24,
 Jack Whitehall: Travels with My Father,(2017– ),"
Documentary, Comedy            ",7.8,"
Jack and his father continue their tour of Arizona, including Sun City West and historical Tombstone, before heading north to Las Vegas, Nevada.","
    Director:
Leo McCrea
| 
    Stars:
Jack Whitehall, 
Michael Whitehall, 
Hilary Whitehall
",114,60,
 Workin' Moms,(2017– ),"
Comedy            ",7.2,"
Frankie makes a bold move that Bianca might not be ready for. Lionel takes his daughter to work, and Kate clashes with Mike over a client.","
    Director:
Philip Sternberg
| 
    Stars:
Catherine Reitman, 
Dani Kind, 
Juno Rinaldi, 
Ryan Belleville
",79,,
 Workin' Moms,(2017– ),"
Comedy            ",7.7,"
A repentant Alice earns back her internship at Kate Foster PR, and Jenny makes an unsettling discovery. Frankie grows suspicious of Sean.","
    Director:
Philip Sternberg
| 
    Stars:
Catherine Reitman, 
Dani Kind, 
Juno Rinaldi, 
Jessalyn Wanlim
",73,,
 Workin' Moms,(2017– ),"
Comedy            ",7.5,"
While Nathan and Kate navigate their new living arrangement, Frankie and Juniper investigate Sean. A furtive search puts Anne's book in jeopardy.,","
    Director:
Joyce Wong
| 
    Stars:
Catherine Reitman, 
Dani Kind, 
Juno Rinaldi, 
Ryan Belleville
",71,,
 Workin' Moms,(2017– ),"
Comedy            ",7.8,"
As a frantic Kate searches for Charlie, Frankie seizes her chance for revenge. Anne and Lionel make a pivotal decision, and Jenny wins big at work.","
    Director:
Joyce Wong
| 
    Stars:
Catherine Reitman, 
Dani Kind, 
Juno Rinaldi, 
Jessalyn Wanlim
",86,,
 The Irregulars,-2021,"
Crime, Drama, Fantasy            ",7.1,"
A gruesome murder sends Bea and her crew undercover at a country estate to determine whether the killer is part of a secret paranormal society.","
    Director:
Joss Agnew
| 
    Stars:
McKell David, 
Thaddea Graham, 
Jojo Macari, 
Harrison Osterfield
",438,52,
 The Irregulars,-2021,"
Crime, Drama, Fantasy            ",7.1,"
Jessie comes face to face with Inspector Lestrade at a crime scene, Bea plays cat and mouse with Watson, and Leo feels torn over his life at the palace.","
    Director:
Joss Agnew
| 
    Stars:
McKell David, 
Thaddea Graham, 
Jojo Macari, 
Harrison Osterfield
",398,51,
 The Irregulars,-2021,"
Crime, Drama, Fantasy            ",7,"
Bea discovers more about her mother's long-ago connection to Sherlock and Watson, while Billy contemplates revenge after a brutal reminder of his past.","
    Director:
Weronika Tofilska
| 
    Stars:
McKell David, 
Thaddea Graham, 
Jojo Macari, 
Harrison Osterfield
",368,56,
 The Irregulars,-2021,"
Crime, Drama, Fantasy            ",6.9,"
Bea suspects a spate of stolen body parts links to an old case, Jessie approaches Sherlock about her nightmares. Leo makes a stand for his future.","
    Director:
Weronika Tofilska
| 
    Stars:
McKell David, 
Thaddea Graham, 
Jojo Macari, 
Harrison Osterfield
",349,53,
 The Irregulars,-2021,"
Crime, Drama, Fantasy            ",7,"
After demanding the truth from Watson, Bea joins a plan to catch the Linen Man. Jessie fights her fears. Spike scrambles to keep his friends together.","
    Director:
Joss Agnew
| 
    Stars:
McKell David, 
Thaddea Graham, 
Jojo Macari, 
Harrison Osterfield
",342,49,
 The Irregulars,-2021,"
Crime, Drama, Fantasy            ",7.1,"
As London descends into chaos, Bea and her crew head underground, where together they face untold horror in a dangerous quest to locate the Rip.","
    Director:
Joss Agnew
| 
    Stars:
McKell David, 
Thaddea Graham, 
Jojo Macari, 
Harrison Osterfield
",364,55,
 The Serpent,-2021,"
Crime, Drama, Thriller            ",7.2,"
Bangkok, 1975. Dutch diplomat Herman Knippenberg investigates the disappearance of a young couple who were last seen alive at the apartment of gem dealer Charles Sobhraj.","
    Director:
Tom Shankland
| 
    Stars:
Tahar Rahim, 
Lucy Newman-Williams, 
Mathilde Warnier, 
Amesh Edireweera
",944,59,
 Workin' Moms,(2017– ),"
Comedy            ",7.6,"
Kate confronts Mike, handles a crisis, then hosts a dinner party. Anne pushes through writer's block, and Jenny makes a pay for equal pay.","
    Director:
Philip Sternberg
| 
    Stars:
Catherine Reitman, 
Dani Kind, 
Jessalyn Wanlim, 
Ryan Belleville
",72,,
 Riverdale,(2017– ),"
Crime, Drama, Mystery            ",7.2,"
Veronica digs deep for justice; Betty explores her future and complex past; Stonewall Prep celebrates a literary franchise; Archie finds himself the unexpected target of the local businesses.","
    Director:
Harry Jierjian
| 
    Stars:
K.J. Apa, 
Lili Reinhart, 
Camila Mendes, 
Cole Sprouse
",781,41,
 Brews Brothers,(2020– ),"
Comedy            ",5.3,"
Brewery owner Wilhelm Rodman gets a visit from his polar opposite brother, Adam, but the unpleasant reunion is cut short by a bigger crisis.","
    Director:
Jeff Schaffer
| 
    Stars:
Mike Castle, 
Alan Aisenberg, 
Carmen Flood, 
Marques Ray
",104,,
 The Big Show Show,-2020,"
Comedy            ",6.6,"
The Big Show's teenage daughter from a previous relationship comes to live with him, his wife, Cassy, and their two younger daughters in Florida.","
    Director:
Phill Lewis
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",156,27,
 The Big Show Show,-2020,"
Comedy            ",7,"
The Big Show's real estate career gets off to a bad start; Mandy moves in with Lola.","
    Director:
Phill Lewis
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",121,25,
